,brand_canonical,category,total_reviews,avg_rating,count
0,armani beauty,BB & CC Cream,19,4.5,1
1,armani beauty,Bath & Shower,8,4.75,2
2,armani beauty,Blush,46,4.0,1
3,armani beauty,Body Sprays & Deodorant,15,4.5,1
4,armani beauty,Bronzer,24,3.5,1
5,armani beauty,Cologne,1730,4.318181818181818,11
6,armani beauty,Cologne Gift Sets,0,0.0,1
7,armani beauty,Concealer,1087,4.5,3
8,armani beauty,Eyeshadow,404,4.5,1
9,armani beauty,Face Primer,133,4.0,2
10,armani beauty,Foundation,4224,4.25,6
11,armani beauty,Highlighter,142,3.75,2
12,armani beauty,Lip Balm & Treatment,33,3.5,1
13,armani beauty,Lip Gloss,128,4.5,1
14,armani beauty,Lipstick,1112,4.5,3
15,armani beauty,Liquid Lipstick,1000,4.5,1
16,armani beauty,Makeup,148,4.0,1
17,armani beauty,Mascara,594,4.375,4
18,armani beauty,Perfume,2981,3.9375,8
19,armani beauty,Perfume Gift Sets,4,2.0,2
20,armani beauty,Rollerballs & Travel Size,73,4.375,4
21,armani beauty,Setting Spray & Powder,40,4.5,1
22,armani beauty,Value & Gift Sets,2,5.0,1
23,kiehls,BB & CC Creams,37,3.5,1
24,kiehls,Bath & Body,21,3.5,1
25,kiehls,Blemish & Acne Treatments,109,3.8333333333333335,3
26,kiehls,Body Lotions & Body Oils,305,4.333333333333333,3
27,kiehls,Body Products,22,5.0,2
28,kiehls,Body Wash & Shower Gel,21,3.5,1
29,kiehls,Conditioner,69,4.625,4
30,kiehls,Exfoliators,45,4.5,1
31,kiehls,Eye Cream,30,3.25,2
32,kiehls,Eye Creams & Treatments,1608,3.6666666666666665,6
33,kiehls,Face Masks,793,4.3,5
34,kiehls,Face Oils,166,4.0,1
35,kiehls,Face Serums,1612,4.0,7
36,kiehls,Face Sunscreen,93,3.75,2
37,kiehls,Face Wash,32,4.5,3
38,kiehls,Face Wash & Cleansers,1318,4.3,10
39,kiehls,Facial Peels,36,4.0,1
40,kiehls,Hair Masks,242,4.5,2
41,kiehls,Hair Products,7,2.5,2
42,kiehls,Hair Styling Products,4,4.0,1
43,kiehls,Hand Cream & Foot Cream,148,4.5,1
44,kiehls,Lip Balm & Treatment,142,4.0,2
45,kiehls,Lip Balms & Treatments,315,3.8333333333333335,3
46,kiehls,Mini Size,168,4.333333333333333,3
47,kiehls,Mists & Essences,68,4.333333333333333,3
48,kiehls,Moisturizer & Treatments,51,3.5714285714285716,7
49,kiehls,Moisturizers,2624,4.026315789473684,19
50,kiehls,Night Creams,75,4.5,1
51,kiehls,Scalp & Hair Treatments,14,4.5,1
52,kiehls,Scrub & Exfoliants,22,5.0,1
53,kiehls,Shampoo,59,4.0,3
54,kiehls,Shampoo & Conditioner,2,3.0,1
55,kiehls,Shaving,24,4.833333333333333,3
56,kiehls,Sheet Masks,15,3.0,1
57,kiehls,Skincare,257,3.6666666666666665,3
58,kiehls,Skincare Sets,0,0.0,1
59,kiehls,Toners,397,4.0,6
60,kiehls,Value & Gift Sets,43,4.5,7
61,kiehls,no category,3,4.75,2
62,yves saint laurent,Body Mist & Hair Mist,30,4.5,1
63,yves saint laurent,Body Sprays & Deodorant,0,0.0,1
64,yves saint laurent,Cologne,1570,4.777777777777778,9
65,yves saint laurent,Cologne Gift Sets,2,1.6666666666666667,3
66,yves saint laurent,Concealer,4528,4.333333333333333,3
67,yves saint laurent,Deodorant & Antiperspirant,16,4.5,1
68,yves saint laurent,Face Primer,2210,4.333333333333333,3
69,yves saint laurent,Face Serums,512,2.875,8
70,yves saint laurent,Face Sets,0,0.0,1
71,yves saint laurent,Foundation,1642,4.25,2
72,yves saint laurent,Highlighter,106,4.5,1
73,yves saint laurent,Lip Balm & Treatment,217,4.0,1
74,yves saint laurent,Lip Stain,3502,4.125,4
75,yves saint laurent,Lipstick,2625,4.375,8
76,yves saint laurent,Liquid Lipstick,6,4.5,1
77,yves saint laurent,Lotions & Oils,105,4.25,2
78,yves saint laurent,Mascara,1432,4.166666666666667,3
79,yves saint laurent,Mists & Essences,3,5.0,1
80,yves saint laurent,Moisturizers,82,2.25,2
81,yves saint laurent,Perfume,7518,4.1923076923076925,13
82,yves saint laurent,Perfume Gift Sets,75,4.1875,8
83,yves saint laurent,Rollerballs & Travel Size,239,4.375,4
84,yves saint laurent,Tinted Moisturizer,548,4.5,1
