category,total_reviews
Foundation,222108
Mascara,161049
Moisturizers,139533
Lipstick,104707
Eyeliner,103535
Perfume,100207
Face Wash & Cleansers,97794
Face Primer,95052
Face Serums,94270
Makeup,91417
Concealer,84146
Eyebrow,77274
Face Masks,75603
Setting Spray & Powder,73529
Eye Palettes,65922
Lip Gloss,48998
Eye Creams & Treatments,48156
Highlighter,44778
Blush,42229
Lip Balms & Treatments,38977
Lip Balm & Treatment,34483
Hair Styling Products,34050
Face Oils,31280
Eye Primer,27167
Mini Size,25324
Skincare,23683
Facial Peels,23429
Toners,23428
Eyeshadow,23007
Bronzer,21294
Shampoo,20838
BB & CC Cream,20253
Makeup Removers,19970
Face Brushes,19946
Mists & Essences,18458
Body Lotions & Body Oils,18402
Exfoliators,15806
Face Sunscreen,15746
Value & Gift Sets,14476
Dry Shampoo,14007
Cologne,13635
Sponges & Applicators,13051
Conditioner,12734
False Eyelashes,12431
Blemish & Acne Treatments,11965
Hair Masks,11604
Brush Cleaners,11377
Tinted Moisturizer,11257
Scalp & Hair Treatments,10073
Lip Liner,9640
Rollerballs & Travel Size,9437
Hair Oil,7956
Night Creams,7823
Body Wash & Shower Gel,7613
Facial Cleansing Brushes,7409
Contour,6830
Eye Brushes,6749
Leave-In Conditioner,6543
Beauty Supplements,6390
Lip Stain,6257
Bath & Body,6193
Hair,6047
Hand Cream & Foot Cream,5840
For Body,5539
BB & CC Creams,5096
Makeup Palettes,5077
Nail,5049
Face Wipes,4760
Sheet Masks,4557
Eyelash Curlers,4265
Eye Masks,4217
Hair Primers,4175
no category,4108
Hair Accessories,3808
For Face,3732
Liquid Lipstick,3710
Color Correct,3685
Cheek Palettes,3627
Deodorant & Antiperspirant,3471
Hair Straighteners & Flat Irons,3261
Self Tanners,2964
Hair Spray,2643
Face Sets,2626
Hair Dryers,2576
Scrub & Exfoliants,2519
Mirrors & Sharpeners,2490
Lip Sets,2199
Tweezers & Eyebrow Tools,2197
Color Care,1879
Body Sunscreen,1599
Shaving,1577
Curling Irons,1509
Face Wash,1502
Lotions & Oils,1427
Teeth Whitening,1376
Anti-Aging,1348
Body Mist & Hair Mist,1344
Bath & Shower,1178
Hair Brushes & Combs,1176
Perfume Gift Sets,1133
Brush Sets,1104
Holistic Wellness,1099
Aftershave,1049
Facial Rollers,1000
Blotting Papers,886
Candles & Home Scents,864
Moisturizer & Treatments,842
Hair Removal,785
Decollete & Neck Creams,762
Makeup Bags & Travel Cases,719
Eye Sets,603
Makeup & Travel Cases,579
Cellulite & Stretch Marks,478
Sunscreen,454
Fragrance,444
Body Products,249
Bath Soaks & Bubble Bath,248
Eye Cream,194
Body Sprays & Deodorant,190
Spa Tools,170
Skincare Sets,168
Lip Plumper,154
Hair Removal & Shaving,121
Lip Brushes,119
Hair Thinning & Hair Loss,87
Hair Products,83
Curls & Coils,79
Lip Sunscreen,72
Lip Treatments,67
After Sun Care,65
Candles,64
Body Moisturizers,43
Shampoo & Conditioner,33
Powder Brush,33
Wellness,27
Deodorant for Men,23
High Tech Tools,23
Hair Styling & Treatments,20
Lid Shadow Brush,20
Cologne Gift Sets,17
Accessories,16
Diffusers,12
Cleansing Brushes,3
